SCHOOLNAME,DISTrictNUMBER,DISTRICTNAME,EMH,EMH_Combined,SCHOOLNUMBER,AEC_10,Charter,Online,INITIAL_PlanType,FINAL_PlanType,Notes,EMH_2lvl,LT100pnts,School_Grade,rank_tot,Overall_ACH_Grade,Read_Ach_Grade,Math_Ach_Grade,Write_Ach_Grade,Sci_Ach_Grade,Overall_Weighted_Growth_Grade,Read_Growth_Grade,Math_Growth_Grade,Write_Growth_Grade,SPF_PS_IND_GRAD_RATE
SKYVIEW ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,,2578,0,0,0,Performance Plan,Performance Plan,,1,0,9,314,6,6,9,6,7,9,8,10,8,
LEWIS-PALMER ELEMENTARY SCHOOL,1080,LEWIS-PALMER 38,E,,5096,0,0,0,Performance Plan,Performance Plan,,1,0,9,314,11,10,12,10,12,9,9,7,9,
MONTBELLO HIGH SCHOOL,880,DENVER COUNTY 1,H,,5995,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,2,0,4,314,1,1,3,1,1,6,6,7,6,56.2
FLAGSTAFF CHARTER ACADEMY,470,ST VRAIN VALLEY RE 1J,M,,2964,0,1,0,,,,1,0,9,314,10,10,9,12,9,6,6,6,8,
ABRAHAM LINCOLN HIGH SCHOOL,880,DENVER COUNTY 1,H,,10,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,2,0,4,315,3,3,4,3,2,6,6,6,6,51.7
CONNECTIONS LEARNING CENTER ON THE EARLE JOHNSON CAMPUS,1420,JEFFERSON COUNTY R-1,A,MH,4798,1,0,0,Pending AEC SPF,AEC: Improvement Plan,,2,0,3,316,,,,,,,,,,
NORTHRIDGE HIGH SCHOOL,3120,GREELEY 6,H,,6364,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,2,0,4,316,4,4,5,5,4,3,3,5,2,65.400000000000006
FALL RIVER ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,,2912,0,0,0,Performance Plan,Performance Plan,,1,0,9,317,10,10,10,12,10,7,6,6,8,
LINCOLN HIGH SCHOOL,2405,FORT MORGAN RE-3,H,,5180,1,0,0,Pending AEC SPF,AEC: Performance Plan,,2,0,4,318,2,3,2,3,3,6,9,3,9,16.8
DEER CREEK ELEMENTARY SCHOOL,2600,PLATTE CANYON 1,E,,7042,0,0,0,Performance Plan,Performance Plan,,1,0,9,318,9,9,10,9,10,7,10,6,6,
PLATTE RIVER CHARTER ACADEMY,900,DOUGLAS COUNTY RE 1,E,,7047,0,1,0,,,,1,0,9,318,12,12,12,12,11,6,6,6,8,
ALAMEDA HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,108,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,2,0,4,319,3,3,5,3,3,3,5,3,3,63.4
JUSTICE HIGH SCHOOL DENVER,880,DENVER COUNTY 1,H,,4494,1,1,0,Pending AEC SPF,AEC: Turnaround Plan,,2,0,3,320,1,1,1,1,1,6,5,10,3,26.9
WILLIAM (BILL) ROBERTS K-8 SCHOOL,880,DENVER COUNTY 1,E,,9623,0,0,0,,,,1,0,9,320,9,7,9,9,7,10,9,10,9,
BRUSH CREEK ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,,38,0,0,0,Performance Plan,Performance Plan,,1,0,9,321,12,12,12,11,12,7,6,7,8,
JUNE CREEK ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,,4838,0,0,0,Performance Plan,Performance Plan,,1,0,9,321,5,5,6,4,4,9,10,9,8,
CHALLENGE TO EXCELLENCE CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,E,,1512,0,1,0,,,,1,0,9,321,10,9,10,9,9,7,6,9,8,
HOPE ON-LINE,900,DOUGLAS COUNTY RE 1,H,,3995,0,1,1,,,,2,0,3,321,2,3,3,3,3,6,6,5,8,26.2
GATEWAY HIGH SCHOOL,180,ADAMS-ARAPAHOE 28J,H,,3354,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,2,0,3,322,4,3,5,4,5,5,5,6,5,50.7
COMMUNITY PREP CHARTER SCHOOL,1010,COLORADO SPRINGS 11,H,,1885,1,1,0,Pending AEC SPF,AEC: Performance Plan,,2,0,3,323,3,4,2,3,2,6,6,4,6,17.5
NORTH HIGH SCHOOL,880,DENVER COUNTY 1,H,,6314,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,2,0,3,323,3,2,3,3,3,5,6,6,6,47.9
CLEAR SKY ELEMENTARY,900,DOUGLAS COUNTY RE 1,E,,265,0,0,0,Performance Plan,Performance Plan,,1,0,9,324,8,7,9,7,7,9,7,9,8,
EVERGREEN MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,,2832,0,0,0,Performance Plan,Performance Plan,,1,0,9,324,12,12,10,12,12,7,9,7,6,
LEWIS-ARRIOLA ELEMENTARY SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,E,,5090,0,0,0,Performance Plan,Performance Plan,,1,0,9,324,6,7,9,6,6,7,6,6,8,
THE BIJOU SCHOOL,1010,COLORADO SPRINGS 11,H,,871,1,0,0,Pending AEC SPF,AEC: Improvement Plan,,2,0,3,325,4,5,1,5,4,4,3,5,4,21.2
WEST HIGH SCHOOL,880,DENVER COUNTY 1,H,,9408,0,0,0,Priority Improvement Plan,Turnaround Plan,Deferred to district rating,2,0,3,326,1,2,3,1,2,5,6,5,4,44.9
CHERRY VALLEY ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,,1578,0,0,0,Performance Plan,Performance Plan,,1,0,9,327,7,7,7,7,6,9,7,7,9,
GARDEN PARK HIGH SCHOOL,1140,CANON CITY RE-1,H,,3211,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,2,0,3,327,5,6,3,6,5,5,6,1,6,17
BEAR CREEK ELEMENTARY SCHOOL,1080,LEWIS-PALMER 38,E,,3539,0,0,0,Performance Plan,Performance Plan,,1,0,9,327,10,10,10,10,6,9,10,7,6,
GREEN MOUNTAIN ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,3624,0,0,0,Performance Plan,Performance Plan,,1,0,9,327,6,6,6,6,6,9,6,10,9,
HOWBERT ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,4138,0,0,0,Performance Plan,Performance Plan,,1,0,9,327,9,9,9,9,9,8,7,9,6,
LA JARA SECOND CHANCE SCHOOL,550,NORTH CONEJOS RE-1J,A,MH,4837,1,0,0,Pending AEC SPF,AEC: Performance Plan,,2,0,3,327,,,,,,,,,,
MARSHDALE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,5580,0,0,0,Performance Plan,Performance Plan,,1,0,9,327,10,10,11,10,10,9,6,10,8,
MEEKER ELEMENTARY SCHOOL,2710,MEEKER RE1,E,,5750,0,0,0,Performance Plan,Performance Plan,,1,0,9,327,7,6,8,7,7,9,6,9,8,
SODA CREEK ELEMENTARY SCHOOL,2770,STEAMBOAT SPRINGS RE-2,E,,8208,0,0,0,Performance Plan,Performance Plan,,1,0,9,327,9,8,9,8,8,9,6,9,9,
SUMMIT RIDGE MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,,8381,0,0,0,Performance Plan,Performance Plan,,1,0,9,327,9,9,7,9,10,8,6,9,8,
CARBONDALE COMMUNITY CHARTER SCHOOL,1180,ROARING FORK RE-1,M,,429,0,1,0,,,,1,0,9,327,9,9,7,10,7,9,6,10,8,
COMMUNITY LEADERSHIP ACADEMY,30,ADAMS COUNTY 14,M,,1882,0,1,0,,,,1,0,9,327,5,5,3,6,4,13,12,9,13,
HOTCHKISS ELEMENTARY SCHOOL,870,DELTA COUNTY 50(J),E,,4124,0,0,0,,,,1,0,9,327,9,9,11,8,9,8,7,9,7,
IMAGINE CHARTER,470,ST VRAIN VALLEY RE 1J,E,,4333,0,1,0,,,,1,0,9,327,8,8,9,7,7,9,9,10,6,
CENTRAL HIGH SCHOOL,2690,PUEBLO CITY 60,H,,1454,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,2,0,3,329,4,4,3,5,3,3,3,3,2,68.099999999999994
PATRIOT LEARNING CENTER,1110,FALCON 49,A,MH,6810,1,0,0,Pending AEC SPF,AEC: Performance Plan,,2,0,3,330,,,,,,,,,,
COLORADO'S FINEST ALTERNATIVE HIGH SCHOOL,120,ENGLEWOOD 1,H,,206,1,0,0,Pending AEC SPF,AEC: Performance Plan,,2,0,3,331,5,5,4,5,5,5,3,6,5,10.6
NEW AMERICA SCHOOL,1420,JEFFERSON COUNTY R-1,H,,6237,1,1,0,Pending AEC SPF,AEC: Priority Improvement Plan,,2,0,2,332,1,1,1,1,1,6,6,6,6,5.7
SOBESKY ACADEMY,1420,JEFFERSON COUNTY R-1,A,EMH,8036,1,0,0,Pending AEC SPF,AEC: Improvement Plan,,2,0,2,332,,,,,,,,,,
ARAPAHOE RIDGE HIGH SCHOOL,480,BOULDER VALLEY RE 2,H,,125,1,0,0,Pending AEC SPF,AEC: Improvement Plan,,2,0,2,334,1,1,2,1,1,5,6,2,9,32.200000000000003
NEW AMERICA SCHOOL,180,ADAMS-ARAPAHOE 28J,H,,6219,1,1,0,Pending AEC SPF,AEC: Priority Improvement Plan,,2,0,3,335,1,1,1,1,1,4,6,5,3,8.8000000000000007
COLORADO SCHOOL FOR THE DEAF AND BLIND,9000,Colorado School for the De,A,EMH,9999,1,0,0,Pending AEC SPF,AEC: Performance Plan,,2,0,3,336,,,,,,,,,,
KARVAL ONLINE EDUCATION,1810,KARVAL RE-23,H,,4504,0,0,1,,,,2,0,3,337,5,6,5,5,5,1,3,1,2,38.4
CONTEMPORARY LEARNING ACADEMY HIGH SCHOOL,880,DENVER COUNTY 1,H,,5844,1,0,0,Pending AEC SPF,AEC: Turnaround Plan,,2,0,2,338,1,1,1,1,1,5,3,6,3,0.2
BRADLEY ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,964,0,0,0,Performance Plan,Performance Plan,,1,0,9,339,6,6,6,6,6,10,9,6,12,
BRIGHTON HERITAGE ACADEMY,40,BRIGHTON 27J,A,MH,1021,1,0,0,Pending AEC SPF,AEC: Priority Improvement Plan,,2,0,3,339,,,,,,,,,,
PALMER ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,6676,0,0,0,Performance Plan,Performance Plan,,1,0,9,339,6,6,6,6,6,10,9,9,9,
THE CONNECT CHARTER SCHOOL,2700,PUEBLO COUNTY 70,M,,8810,0,1,0,Performance Plan,Performance Plan,,1,0,9,339,13,13,11,13,12,6,6,6,9,
WESTMINSTER HIGH SCHOOL,70,WESTMINSTER 50,H,,9466,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,2,0,3,340,3,3,4,3,4,3,3,3,3,54.8
NEW HORIZONS DAY SCHOOL,980,HARRISON 2,A,MH,6244,1,0,0,Pending AEC SPF,AEC: Improvement Plan,,2,0,2,341,,,,,,,,,,
ADAMS CITY HIGH SCHOOL,30,ADAMS COUNTY 14,H,,24,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,2,0,2,342,3,3,5,3,3,2,4,3,1,64.7
T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE,8001,CHARTER SCHOOL INSTITUTE,E,,657,0,1,0,,,,1,0,9,342,9,7,10,7,12,9,9,7,9,
LORRAINE SECONDARY SCHOOL,1000,FOUNTAIN 8,A,MH,203,1,0,0,Pending AEC SPF,AEC: Performance Plan,,2,0,2,343,,,,,,,,,,
HORIZONS K-8 SCHOOL,480,BOULDER VALLEY RE 2,M,,6642,0,1,0,,,,1,0,9,343,12,13,9,12,13,7,9,5,8,
MC LAIN HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,33,1,0,0,Pending AEC SPF,AEC: Performance Plan,,2,0,2,344,5,5,5,5,3,4,6,5,2,25.2
CLYDE MILLER K-8,180,ADAMS-ARAPAHOE 28J,E,,1720,0,0,0,Performance Plan,Performance Plan,,1,0,9,344,5,3,6,5,4,11,7,12,11,
EAGLEVIEW ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,,2361,0,0,0,Performance Plan,Performance Plan,,1,0,9,344,8,7,9,7,7,9,9,9,6,
ROCKY HEIGHTS MIDDLE SCHOOL,900,DOUGLAS COUNTY RE 1,M,,7448,0,0,0,Performance Plan,Performance Plan,,1,0,9,344,10,10,9,11,10,6,6,6,6,
INSIGHT SCHOOL OF COLORADO AT JULESBURG,2862,JULESBURG RE-1,H,,4369,0,0,1,Turnaround Plan,Turnaround Plan,,2,0,1,345,4,5,2,4,4,1,2,1,1,12.6
YAMPAH MOUNTAIN SCHOOL,9030,MOUNTAIN BOCES,H,,6134,1,0,0,Pending AEC SPF,AEC: Performance Plan,,2,0,2,345,5,5,3,5,5,1,2,1,5,54.9
FLORENCE CRITTENTON HIGH SCHOOL,880,DENVER COUNTY 1,H,,3000,1,0,0,Pending AEC SPF,AEC: Turnaround Plan,,2,0,1,347,1,2,1,1,1,3,6,1,5,0.6
MANCOS MIDDLE SCHOOL,2070,MANCOS RE-6,M,,5450,0,0,0,Performance Plan,Performance Plan,,1,0,9,347,6,6,6,7,11,8,9,5,9,
MEADOW VIEW ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,,5745,0,0,0,Performance Plan,Performance Plan,,1,0,9,347,9,9,9,10,7,9,6,10,9,
MERINO ELEMENTARY SCHOOL,1860,BUFFALO RE-4J,E,,5802,0,0,0,Performance Plan,Performance Plan,,1,0,9,347,9,8,9,9,6,9,11,9,6,
HIGH POINT ACADEMY,8001,CHARTER SCHOOL INSTITUTE,M,,655,0,1,0,,,,1,0,9,347,5,6,3,6,5,10,10,9,11,
ACE COMMUNITY CHALLENGE CHARTER SCHOOL,880,DENVER COUNTY 1,A,MH,1866,1,1,0,Pending AEC SPF,AEC: Priority Improvement Plan,,2,0,2,348,,,,,,,,,,
LESTER R ARNOLD HIGH SCHOOL,30,ADAMS COUNTY 14,H,,22,1,0,0,Pending AEC SPF,AEC: Turnaround Plan,,2,0,1,349,1,1,1,1,1,1,3,1,3,32.5
OLDE COLUMBINE HIGH SCHOOL,470,ST VRAIN VALLEY RE 1J,H,,6498,1,0,0,Pending AEC SPF,AEC: Improvement Plan,,2,0,1,350,2,3,3,3,3,1,3,2,1,27.5
MOFFAT MIDDLE SCHOOL,2800,MOFFAT 2,M,,5956,0,0,0,Performance Plan,Performance Plan,,1,0,9,351,6,7,4,8,5,12,12,6,13,
RIVERVIEW ELEMENTARY SCHOOL,1520,DURANGO 9-R,E,,7402,0,0,0,Performance Plan,Performance Plan,,1,0,9,351,10,11,9,10,12,8,11,6,8,
RUNNING CREEK ELEMENTARY SCHOOL,920,ELIZABETH C-1,E,,7517,0,0,0,Performance Plan,Performance Plan,,1,0,9,351,9,9,10,9,9,7,6,9,7,
YOUTH & FAMILY ACADEMY CHARTER,2690,PUEBLO CITY 60,A,MH,9785,1,1,0,Pending AEC SPF,AEC: Priority Improvement Plan,,2,0,1,351,,,,,,,,,,
CHALLENGE TO EXCELLENCE CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,M,,1512,0,1,0,,,,1,0,9,351,9,9,7,10,9,9,7,9,9,
EXCEL ACADEMY CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,M,,2799,0,1,0,,,,1,0,9,351,7,9,6,8,9,9,11,6,9,
PAGOSA SPRINGS MIDDLE SCHOOL,220,ARCHULETA COUNTY 50 JT,M,,6657,0,0,0,,,,1,0,9,351,6,6,6,6,7,9,9,12,7,
DELTA COUNTY OPPORTUNITY SCHOOL,870,DELTA COUNTY 50(J),A,MH,2155,1,0,0,Pending AEC SPF,AEC: Priority Improvement Plan,,2,0,1,352,,,,,,,,,,
CENTENNIAL HIGH SCHOOL,1550,POUDRE R-1,H,,3760,1,0,0,Pending AEC SPF,AEC: Performance Plan,,2,0,1,352,2,1,2,2,2,1,1,1,1,39.9
POUDRE COMMUNITY ACADEMY,1550,POUDRE R-1,H,,7127,1,0,0,Pending AEC SPF,AEC: Priority Improvement Plan,,2,0,1,354,2,3,1,3,2,1,1,2,3,17.5
HIDDEN LAKE HIGH SCHOOL,70,WESTMINSTER 50,H,,3931,1,0,0,Pending AEC SPF,AEC: Improvement Plan,,2,0,1,355,1,1,1,1,1,2,1,3,3,22.8
THE NEW AMERICA SCHOOL,10,MAPLETON 1,H,,4699,1,1,0,Pending AEC SPF,AEC: Priority Improvement Plan,,2,0,1,356,1,1,1,1,1,1,1,5,1,
LIFE SKILLS CENTER OF DENVER,880,DENVER COUNTY 1,H,,5129,1,1,0,Pending AEC SPF,AEC: Turnaround Plan,,2,0,1,357,1,1,1,1,2,1,2,1,1,3.2
WESTRIDGE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,9490,0,0,0,Performance Plan,Performance Plan,,1,0,9,357,9,10,9,9,9,9,7,7,9,
SKOGLUND MIDDLE SCHOOL,2810,CENTER 26 JT,M,,1416,0,0,0,Performance Plan,Performance Plan,,1,0,9,358,3,3,1,5,6,12,12,12,9,
JEFFERSON HIGH SCHOOL,3120,GREELEY 6,H,,4425,1,0,0,Pending AEC SPF,AEC: Turnaround Plan,,2,0,1,358,1,1,1,2,1,1,1,3,1,
V.I.L.A.S. ONLINE SCHOOL,260,VILAS RE-5,H,,9085,0,0,1,,,,2,0,1,358,2,2,1,2,2,1,1,1,2,30.7
THE CLASSICAL ACADEMY CHARTER,1040,ACADEMY 20,E,,1627,0,1,0,Performance Plan,Performance Plan,,1,0,9,359,11,11,12,10,9,7,6,6,7,
HOLYOKE ELEMENTARY SCHOOL,2620,HOLYOKE RE-1J,E,,4076,0,0,0,Performance Plan,Performance Plan,,1,0,9,359,7,7,6,7,9,9,9,7,9,
LONE TREE ELEMENTARY,900,DOUGLAS COUNTY RE 1,E,,5843,0,0,0,Performance Plan,Performance Plan,,1,0,9,359,9,9,9,8,7,9,7,9,8,
SKYVIEW ACADEMY,900,DOUGLAS COUNTY RE 1,E,,6365,0,1,0,Performance Plan,Performance Plan,,1,0,9,359,10,10,11,9,9,6,8,6,6,
UTE PASS ELEMENTARY SCHOOL,1030,MANITOU SPRINGS 14,E,,9010,0,0,0,Performance Plan,Performance Plan,,1,0,9,359,9,8,9,7,9,9,7,6,12,
WILMOT ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,9648,0,0,0,Performance Plan,Performance Plan,,1,0,9,359,12,12,10,11,10,6,7,6,6,
HULSTROM OPTIONS K-8 SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,M,,4172,0,0,0,,,,1,0,9,359,12,13,12,13,12,6,7,6,5,
WYATT-EDISON CHARTER ELEMENTARY SCHOOL,880,DENVER COUNTY 1,M,,9739,0,1,0,,,,1,0,9,359,3,5,3,5,3,12,12,12,9,
BRADY EXPLORATION SCHOOL,1420,JEFFERSON COUNTY R-1,H,,965,1,0,0,Pending AEC SPF,AEC: Priority Improvement Plan,,2,0,1,360,1,2,1,1,1,1,1,3,1,13.6
GOAL ACADEMY,8001,CHARTER SCHOOL INSTITUTE,A,MH,3475,1,1,1,Pending AEC SPF,AEC: Improvement Plan,,2,0,1,361,,,,,,,,,,
SOUTHWEST OPEN CHARTER SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,H,,8133,1,1,0,Pending AEC SPF,AEC: Priority Improvement Plan,,2,0,1,362,2,3,3,2,3,1,1,1,1,10.5
VANTAGE POINT,20,ADAMS 12 FIVE STAR SCHOOLS,A,EMH,210,1,0,0,Pending AEC SPF,AEC: Improvement Plan,,2,0,1,363,,,,,,,,,,
RED CANYON HIGH SCHOOL,910,EAGLE COUNTY RE 50,H,,205,1,0,0,Pending AEC SPF,AEC: Improvement Plan,,2,0,1,364,3,3,3,3,3,1,1,1,1,44.9
JUSTICE HIGH CHARTER SCHOOL,480,BOULDER VALLEY RE 2,A,MH,4496,1,1,0,Pending AEC SPF,AEC: Performance Plan,,2,0,1,364,,,,,,,,,,
VISTA CHARTER SCHOOL,2180,MONTROSE COUNTY RE-1J,H,,9149,1,1,0,Pending AEC SPF,AEC: Improvement Plan,,2,0,1,364,1,1,1,1,1,1,1,1,1,36
KELLER ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,4530,0,0,0,Performance Plan,Performance Plan,,1,0,9,367,6,6,7,6,6,9,10,7,8,
LINCOLN ELEMENTARY SCHOOL,870,DELTA COUNTY 50(J),E,,5154,0,0,0,Performance Plan,Performance Plan,,1,0,9,367,7,6,9,7,6,7,7,9,6,
WELDON VALLEY JUNIOR HIGH SCHOOL,2505,WELDON VALLEY RE-20(J),M,,9356,0,0,0,Performance Plan,Performance Plan,,1,0,9,367,6,6,6,8,6,10,12,6,12,
NORTH ROUTT CHARTER SCHOOL,2770,STEAMBOAT SPRINGS RE-2,E,,6363,0,1,0,,,,1,0,9,367,7,9,8,6,6,7,6,6,9,
VALLEY VIEW K-8,10,MAPLETON 1,E,,9036,0,0,0,,,,1,0,9,367,6,6,7,7,6,9,9,9,7,
BOOKCLIFF MIDDLE SCHOOL,2000,MESA COUNTY VALLEY 51,M,,900,0,0,0,Performance Plan,Performance Plan,,1,0,9,372,6,6,5,6,6,10,9,9,12,
SKYWAY PARK ELEMENTARY SCHOOL,1020,CHEYENNE MOUNTAIN 12,E,,1604,0,0,0,Performance Plan,Performance Plan,,1,0,9,372,9,10,8,10,11,8,6,7,9,
KENDRICK LAKES ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,4550,0,0,0,Performance Plan,Performance Plan,,1,0,9,374,9,9,9,9,7,9,9,9,10,
KNOWLEDGE QUEST ACADEMY,3110,JOHNSTOWN-MILLIKEN RE-5J,M,,4785,0,1,0,,,,1,0,9,374,6,8,6,7,7,10,8,10,9,
PEAR PARK ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,363,0,0,0,Performance Plan,Performance Plan,,1,0,9,376,9,9,10,8,7,7,7,7,8,
GIRLS ATHLETIC LEADERSHIP SCHOOL,880,DENVER COUNTY 1,M,,3639,0,1,0,Performance Plan,Performance Plan,,1,0,9,376,,6,5,6,,12,12,6,12,
BACON ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,490,0,0,0,Performance Plan,Performance Plan,,1,0,9,378,9,10,9,9,8,9,9,9,7,
CAMPUS MIDDLE SCHOOL,130,CHERRY CREEK 5,M,,1566,0,0,0,Performance Plan,Performance Plan,,1,0,9,378,10,10,9,12,10,7,7,6,8,
KIT CARSON ELEMENTARY SCHOOL,510,KIT CARSON R-1,E,,4738,0,0,0,Performance Plan,Performance Plan,,1,0,9,378,11,9,12,10,12,6,2,9,6,
HALLETT FUNDAMENTAL ACADEMY,880,DENVER COUNTY 1,E,,4782,0,0,0,Performance Plan,Performance Plan,,1,0,9,378,6,6,6,5,3,10,10,9,9,
MOUNTAIN VIEW ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,,6150,0,0,0,Performance Plan,Performance Plan,,1,0,9,378,7,6,9,9,6,7,6,9,7,
SUMMIT ELEMENTARY SCHOOL,3020,WOODLAND PARK RE-2,E,,8379,0,0,0,Performance Plan,Performance Plan,,1,0,9,378,6,6,7,6,7,9,7,9,9,
SUMMIT COVE ELEMENTARY SCHOOL,3000,SUMMIT RE-1,E,,8385,0,0,0,Performance Plan,Performance Plan,,1,0,9,378,11,9,11,10,12,6,9,6,6,
WEST JEFFERSON MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,,9428,0,0,0,Performance Plan,Performance Plan,,1,0,9,378,9,9,8,9,10,7,9,7,6,
GOODNIGHT ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,1504,0,0,0,,,,1,0,9,378,7,7,9,7,6,8,7,9,6,
PRAIRIE JUNIOR-SENIOR HIGH SCHOOL,3147,PRAIRIE RE-11,M,,7156,0,0,0,,,,1,0,9,378,7,6,7,8,6,8,5,9,9,
PIKES PEAK PREP,8001,CHARTER SCHOOL INSTITUTE,E,,8929,0,1,0,,,,1,0,9,378,7,7,7,7,6,9,12,5,12,
VANGUARD CLASSICAL SCHOOL,180,ADAMS-ARAPAHOE 28J,M,,9056,0,1,0,,,,1,0,9,378,4,5,1,6,3,12,12,9,12,
FREEDOM ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,3175,0,0,0,Performance Plan,Performance Plan,,1,0,9,390,8,7,9,8,8,9,9,10,7,
EAGLE COUNTY CHARTER ACADEMY,910,EAGLE COUNTY RE 50,E,,2340,0,1,0,,,,1,0,9,391,12,11,12,12,12,6,6,6,6,
OURAY ELEMENTARY SCHOOL,2580,OURAY R-1,E,,6596,0,0,0,Performance Plan,Performance Plan,,1,0,9,392,9,9,9,9,9,9,8,11,8,
GRANDVIEW ELEMENTARY SCHOOL,3100,WINDSOR RE-4,E,,55,0,0,0,Performance Plan,Performance Plan,,1,0,9,393,9,9,9,10,12,8,9,6,10,
ALTA VISTA CHARTER SCHOOL,2660,LAMAR RE-2,E,,200,0,1,0,Performance Plan,Performance Plan,,1,0,9,393,12,12,10,11,9,6,6,6,7,
EAST GRAND MIDDLE SCHOOL,1350,EAST GRAND 2,M,,2376,0,0,0,Performance Plan,Performance Plan,,1,0,9,395,7,7,6,9,7,9,9,10,6,
OAK GROVE ELEMENTARY SCHOOL,2180,MONTROSE COUNTY RE-1J,E,,6466,0,0,0,Performance Plan,Performance Plan,,1,0,9,395,6,6,8,6,6,9,12,8,7,
WASHINGTON ELEMENTARY SCHOOL,1140,CANON CITY RE-1,E,,9248,0,0,0,Performance Plan,Performance Plan,,1,0,9,395,6,6,6,6,6,9,9,6,9,
WESTLAKE MIDDLE SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,M,,9444,0,0,0,Performance Plan,Performance Plan,,1,0,9,395,8,7,7,7,9,9,8,9,6,
CARBON VALLEY ACADEMY,470,ST VRAIN VALLEY RE 1J,E,,1284,0,1,0,,,,1,0,9,395,9,9,9,9,7,6,9,3,6,
COAL CREEK CANYON K-8 ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,1730,0,0,0,,,,1,0,9,395,9,9,9,9,8,9,11,9,6,
CRESTED BUTTE COMMUNITY SCHOOL,1360,GUNNISON WATERSHED RE1J,E,,2006,0,0,0,,,,1,0,9,395,10,10,10,10,10,6,5,6,8,
DUTCH CREEK ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,2322,0,0,0,Performance Plan,Performance Plan,,1,0,9,402,7,7,7,7,6,9,9,9,9,
MONUMENT CHARTER ACADEMY,1080,LEWIS-PALMER 38,E,,5093,0,1,0,,,,1,0,9,402,12,11,12,11,12,6,6,6,9,
WEST MIDDLE SCHOOL,130,CHERRY CREEK 5,M,,1568,0,0,0,Performance Plan,Performance Plan,,1,0,9,404,10,10,9,10,10,7,7,6,6,
CREST VIEW ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,,1996,0,0,0,Performance Plan,Performance Plan,,1,0,9,404,8,7,9,6,9,9,8,12,8,
LOUISVILLE MIDDLE SCHOOL,480,BOULDER VALLEY RE 2,M,,5306,0,0,0,Performance Plan,Performance Plan,,1,0,9,406,10,11,9,11,10,6,6,6,6,
STONY CREEK ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,8280,0,0,0,Performance Plan,Performance Plan,,1,0,9,406,9,9,7,9,9,8,7,8,7,
CEDAREDGE MIDDLE SCHOOL,870,DELTA COUNTY 50(J),M,,1375,0,0,0,Performance Plan,Performance Plan,,1,0,9,408,7,8,6,9,9,8,7,7,8,
